#separator:tab
#html:false
#columns: Marathi	Pronunciation	Hindi	English	ExampleMarathi	ExampleEnglish
मित्र	mitr	दोस्त	friend (male)	राहुल माझा मित्र आहे.	Rahul is my friend.
मैत्रीण	maitrīṇ	सहेली	friend (female)	सीमा माझी मैत्रीण आहे.	Seema is my friend.
नवरा	navrā	पति	husband	तिचा नवरा शिक्षक आहे.	Her husband is a teacher.
बायको	bāyko	पत्नी	wife	त्याची बायको डॉक्टर आहे.	His wife is a doctor.
आजी	ājī	दादी	grandmother	आजी गोष्ट सांगते.	Grandmother tells a story.
आजोबा	ājōbā	दादा	grandfather	आजोबा बागेत बसतात.	Grandfather sits in the garden.
काका	kākā	चाचा	uncle (paternal)	काका मुंबईत राहतात.	Uncle lives in Mumbai.
काकी	kākī	चाची	aunt (paternal)	काकी छान स्वयंपाक करते.	Aunt cooks well.
मुलं	mula	बच्चे	children	मुलं अंगणात खेळतात.	Children play in the courtyard.
माणूस	māṇūs	आदमी	man / person	तो चांगला माणूस आहे.	He is a good man.
बाई	bāī	औरत	woman	ती बाई कोण आहे?	Who is that woman?
शेजारी	śejārī	पड़ोसी	neighbour	आमचे शेजारी चांगले आहेत.	Our neighbours are good.
पाहुणा	pāhuṇā	मेहमान	guest	आज पाहुणे येणार आहेत.	Guests are coming today.
शिक्षक	śikṣak	शिक्षक	teacher	शिक्षक धडा शिकवतात.	The teacher teaches the lesson.
डॉक्टर	ḍŏkṭar	डॉक्टर	doctor	डॉक्टर औषध देतात.	The doctor gives medicine.
शेतकरी	śetkarī	किसान	farmer	शेतकरी शेतात काम करतो.	The farmer works in the field.
दुकानदार	dukāndār	दुकानदार	shopkeeper	दुकानदार सामान देतो.	The shopkeeper gives goods.
मूल	mūl	बच्चा	child	ते मूल हसते.	That child laughs.
एक	ek	एक	one	मला एक सफरचंद हवं.	I want one apple.
दोन	don	दो	two	माझ्याकडे दोन पुस्तकं आहेत.	I have two books.
तीन	tīn	तीन	three	तीन वाजले.	It is three o’clock.
चार	chār	चार	four	टेबलाला चार पाय आहेत.	The table has four legs.
पाच	pāch	पाँच	five	पाच मिनिटं थांब.	Wait five minutes.
सहा	sahā	छह	six	सहा वाजता उठ.	Wake up at six.
सात	sāt	सात	seven	आठवड्यात सात दिवस.	Seven days in a week.
आठ	āṭh	आठ	eight	मला आठ आंबे हवेत.	I want eight mangoes.
नऊ	naū	नौ	nine	नऊ वाजले का?	Is it nine o’clock?
दहा	dahā	दस	ten	दहा रुपये द्या.	Give ten rupees.
अकरा	akarā	ग्यारह	eleven	अकरा मुलं आहेत.	There are eleven children.
बारा	bārā	बारह	twelve	बारा महिने असतात.	There are twelve months.
तेरा	terā	तेरह	thirteen	तेरा तारखेला ये.	Come on the thirteenth.
चौदा	chaudā	चौदह	fourteen	चौदा पुस्तकं आण.	Bring fourteen books.
पंधरा	pandharā	पंद्रह	fifteen	पंधरा ऑगस्ट स्वातंत्र्यदिन.	Fifteenth August is Independence Day.
सोळा	soḷā	सोलह	sixteen	सोळा वर्षं पूर्ण.	Sixteen years complete.
सतरा	satarā	सत्रह	seventeen	सतराशे रुपये.	Seventeen hundred rupees.
अठरा	aṭharā	अठारह	eighteen	अठरा वर्षांनंतर मतदान.	Voting after eighteen years.
एकोणीस	ekoṇīs	उन्नीस	nineteen	एकोणीस रुपये उरले.	Nineteen rupees remain.
वीस	vīs	बीस	twenty	वीस रुपये द्या.	Give twenty rupees.
पाणी	pāṇī	पानी	water	मला पाणी हवं.	I want water.
चहा	chahā	चाय	tea	सकाळी चहा प्या.	Drink tea in the morning.
दूध	dūdh	दूध	milk	मूल दूध पितं.	The child drinks milk.
भात	bhāt	चावल	cooked rice	आज भात आणि वरण.	Rice and dal today.
पोळी	poḷī	रोटी	flatbread (roti)	गरम पोळी खा.	Eat hot roti.
भाजी	bhājī	सब्जी	vegetable / curry	आज कोणती भाजी?	Which vegetable today?
डाळ	ḍāḷ	दाल	lentils	डाळीत मीठ कमी आहे.	The dal has less salt.
भाकरी	bhākarī	ज्वार की रोटी	millet flatbread	ज्वारीची भाकरी छान लागते.	Jowar bhakri tastes good.
मीठ	mīṭh	नमक	salt	भाजीत मीठ घाल.	Add salt to the curry.
साखर	sākhar	चीनी	sugar	चहात साखर कमी घाल.	Add less sugar to tea.
तिखट	tikhaṭ	तीखा	spicy	ही चटणी खूप तिखट आहे.	This chutney is very spicy.
गोड	goḍ	मीठा	sweet	हा आंबा गोड आहे.	This mango is sweet.
फळ	phaḷ	फल	fruit	रोज एक फळ खा.	Eat one fruit daily.
केळं	keḷa	केला	banana	केळं स्वस्त आहे.	Bananas are cheap.
आंबा	āmbā	आम	mango	हापूस आंबा प्रसिद्ध आहे.	Hapus mango is famous.
सफरचंद	sapharchand	सेब	apple	सफरचंद लाल आहे.	The apple is red.
द्राक्षं	drākṣa	अंगूर	grapes	द्राक्षं गोड लागतात.	Grapes taste sweet.
संत्रं	santra	संतरा	orange	नागपूरची संत्री प्रसिद्ध.	Nagpur oranges are famous.
बटाटा	baṭāṭā	आलू	potato	बटाट्याची भाजी कर.	Make potato curry.
कांदा	kāndā	प्याज	onion	कांदा चिरून घे.	Chop the onion.
टोमॅटो	ṭomĕṭo	टमाटर	tomato	टोमॅटो स्वस्त झाले.	Tomatoes became cheap.
जेवण	jevaṇ	खाना	meal / food	जेवण तयार आहे.	The meal is ready.
नाश्ता	nāśtā	नाश्ता	breakfast	सकाळी नाश्ता कर.	Have breakfast in the morning.
स्वयंपाक	svayampāk	खाना बनाना	cooking	आई स्वयंपाक करते.	Mother cooks.
हॉटेल	hŏṭel	होटल	hotel / restaurant	हॉटेलात जेवूया.	Let us eat at a restaurant.
बिल	bil	बिल	bill	बिल द्या.	Give the bill.
ताट	tāṭ	थाली	plate (meal plate)	ताट वाढ.	Serve the plate.
चमचा	chamchā	चम्मच	spoon	चमच्याने खा.	Eat with a spoon.
आंबट	āmbaṭ	खट्टा	sour	लिंबू आंबट लागतं.	Lemon tastes sour.
कॉफी	kŏphī	कॉफी	coffee	मला कॉफी आवडते.	I like coffee.
घर	ghar	घर	house / home	माझं घर मोठं आहे.	My house is big.
खोली	kholī	कमरा	room	ही खोली स्वच्छ आहे.	This room is clean.
दार	dār	दरवाजा	door	दार उघड.	Open the door.
खिडकी	khiḍkī	खिड़की	window	खिडकीतून बघ.	Look through the window.
टेबल	ṭebal	मेज	table	पुस्तक टेबलावर ठेव.	Keep the book on the table.
खुर्ची	khurchī	कुर्सी	chair	खुर्चीवर बस.	Sit on the chair.
पलंग	palaṅg	पलंग	bed	पलंगावर झोप.	Sleep on the bed.
दिवा	divā	दीया	lamp	दिवा लाव.	Light the lamp.
आरसा	ārsā	आईना	mirror	आरशात बघ.	Look in the mirror.
पुस्तक	pustak	किताब	book	हे पुस्तक वाच.	Read this book.
पेन	pen	कलम	pen	मला पेन दे.	Give me a pen.
पिशवी	piśvī	थैला	bag	बाजारात पिशवी घेऊन जा.	Take a bag to the market.
कपडा	kapḍā	कपड़ा	cloth	स्वच्छ कपडा घाल.	Wear clean clothes.
चष्मा	chaṣmā	चश्मा	glasses	आजोबा चष्मा लावतात.	Grandfather wears glasses.
घड्याळ	ghaḍyāḷ	घड़ी	watch / clock	घड्याळात किती वाजले?	What time is it?
मोबाईल	mobāīl	मोबाइल	mobile phone	मोबाईलवर बोल.	Talk on the mobile.
चावी	chāvī	चाबी	key	दाराची चावी कुठे आहे?	Where is the door key?
पैसा	paisā	पैसा	money	पैसा जपून वापर.	Spend money carefully.
पत्ता	pattā	पता	address	तुझा पत्ता सांग.	Tell your address.
गाव	gāv	गाँव	village	माझं गाव छोटं आहे.	My village is small.
शहर	śahar	शहर	city	पुणे मोठं शहर आहे.	Pune is a big city.
रस्ता	rastā	रास्ता	road	हा रस्ता कुठे जातो?	Where does this road go?
बाग	bāg	बगीचा	garden	बागेत फुलं आहेत.	There are flowers in the garden.
कागद	kāgad	कागज	paper	कागदावर लिहि.	Write on the paper.
बूट	būṭ	जूते	shoes	बूट घालून बाहेर जा.	Wear shoes and go out.
खाणे	khāṇe	खाना	to eat	आपण जेवण खाऊया.	We will eat food.
पिणे	piṇe	पीना	to drink	पाणी पी.	Drink water.
येणे	yeṇe	आना	to come	उद्या लवकर ये.	Come early tomorrow.
जाणे	jāṇe	जाना	to go	शाळेत जा.	Go to school.
बसणे	basaṇe	बैठना	to sit	खुर्चीवर बस.	Sit on the chair.
उठणे	uṭhaṇe	उठना	to get up	सकाळी लवकर उठ.	Wake up early.
झोपणे	jhopaṇe	सोना	to sleep	लवकर झोप.	Sleep early.
चालणे	chālaṇe	चलना	to walk	हळू चाल.	Walk slowly.
धावणे	dhāvaṇe	दौड़ना	to run	मुलं मैदानात धावतात.	Children run in the ground.
बोलणे	bolaṇe	बोलना	to speak	हळू बोल.	Speak slowly.
ऐकणे	aikaṇe	सुनना	to listen	लक्ष देऊन ऐक.	Listen carefully.
पाहणे	pāhaṇe	देखना	to see / to watch	तिकडे पाहा.	Look there.
वाचणे	vāchaṇe	पढ़ना	to read	रोज पुस्तक वाच.	Read a book daily.
लिहिणे	lihiṇe	लिखना	to write	तुझं नाव लिहि.	Write your name.
करणे	karaṇe	करना	to do	काम वेळेत कर.	Do the work on time.
घेणे	gheṇe	लेना	to take	पुस्तक घे.	Take the book.
देणे	deṇe	देना	to give	मला पेन दे.	Give me a pen.
ठेवणे	ṭhevaṇe	रखना	to keep	पुस्तक टेबलावर ठेव.	Keep the book on the table.
आणणे	āṇaṇe	लाना	to bring	बाजारातून भाजी आण.	Bring vegetables from the market.
विचारणे	vichāraṇe	पूछना	to ask	शिक्षकांना विचार.	Ask the teacher.
समजणे	samajaṇe	समझना	to understand	मला समजलं.	I understood.
शिकणे	śikaṇe	सीखना	to learn	मराठी शिक.	Learn Marathi.
खेळणे	kheḷaṇe	खेलना	to play	मुलं बाहेर खेळतात.	Children play outside.
हसणे	hasaṇe	हँसना	to laugh	जोरात हसू नकोस.	Do not laugh loudly.
काम करणे	kām karaṇe	काम करना	to work	तो कार्यालयात काम करतो.	He works in the office.
उघडणे	ughaḍaṇe	खोलना	to open	दार उघड.	Open the door.
बंद करणे	band karaṇe	बंद करना	to close	खिडकी बंद कर.	Close the window.
मदत करणे	madat karaṇe	मदद करना	to help	मला मदत कर.	Help me.
स्वच्छ करणे	svachchh karaṇe	साफ करना	to clean	खोली स्वच्छ कर.	Clean the room.
थांबणे	thāmbaṇe	रुकना	to stop / to wait	इथे थांब.	Wait here.
मोठा	moṭhā	बड़ा	big	हे घर मोठं आहे.	This house is big.
लहान	lahān	छोटा	small	लहान मूल खेळतं.	The small child plays.
चांगला	chāṅglā	अच्छा	good	तो चांगला माणूस आहे.	He is a good man.
वाईट	vāīṭ	बुरा	bad	वाईट सवय सोड.	Quit the bad habit.
नवीन	navīn	नया	new	माझा नवीन मोबाईल.	My new mobile.
जुना	junā	पुराना	old	हे पुस्तक जुनं आहे.	This book is old.
गरम	garam	गरम	hot	चहा गरम आहे.	The tea is hot.
थंड	thaṇḍ	ठंडा	cold	पाणी थंड आहे.	The water is cold.
लांब	lāmb	लंबा	long	हा रस्ता लांब आहे.	This road is long.
जलद	jalad	तेज	fast	तो जलद धावतो.	He runs fast.
हळू	haḷū	धीमा	slow	हळू बोल.	Speak slowly.
जवळ	javaḷ	पास	near	स्टेशन जवळ आहे.	The station is near.
दूर	dūr	दूर	far	गाव दूर आहे.	The village is far.
स्वच्छ	svachchh	साफ	clean	खोली स्वच्छ ठेव.	Keep the room clean.
सोपं	sopa	आसान	easy	हे काम सोपं आहे.	This work is easy.
अवघड	avaghaḍ	कठिन	difficult	गणित अवघड वाटतं.	Maths feels difficult.
खूप	khūp	बहुत	very / a lot	मला खूप आनंद झाला.	I became very happy.
थोडं	thoḍa	थोड़ा	a little	थोडं पाणी दे.	Give a little water.
सर्व	sarv	सब	all	सर्व मुलं आली.	All children came.
प्रत्येक	pratyek	हर	every / each	प्रत्येक दिवशी वाच.	Read every day.
स्टेशन	sṭeśan	स्टेशन	station	रेल्वे स्टेशन कुठे आहे?	Where is the railway station?
तिकीट	tikīṭ	टिकट	ticket	तिकीट काढ.	Buy the ticket.
प्लॅटफॉर्म	plĕṭphŏrm	प्लेटफॉर्म	platform	गाडी प्लॅटफॉर्मवर आली.	The train came to the platform.
बस	bas	बस	bus	बस थांब्यावर थांब.	Wait at the bus stop.
रेल्वे	relve	रेलवे	railway	रेल्वेने प्रवास सोपा.	Travel is easy by railway.
विमान	vimān	हवाई जहाज	aeroplane	विमान आकाशात उडतं.	The plane flies in the sky.
टॅक्सी	ṭĕksī	टैक्सी	taxi	टॅक्सीने स्टेशनला जा.	Go to the station by taxi.
रिक्षा	rikṣā	रिक्शा	auto rickshaw	रिक्षाने बाजारात जा.	Go to the market by rickshaw.
प्रवास	pravās	यात्रा	journey	प्रवास सुखाचा होवो.	Have a pleasant journey.
नकाशा	nakāśā	नक्शा	map	नकाशात रस्ता बघ.	See the road on the map.
डावा	ḍāvā	बायाँ	left	डावीकडे वळ.	Turn left.
उजवा	ujavā	दायाँ	right	उजवीकडे वळ.	Turn right.
सरळ	saraḷ	सीधा	straight	सरळ जा.	Go straight.
थांबा	thāmbā	स्टॉप	stop	पुढच्या थांब्यावर उतर.	Get down at the next stop.
बाजार	bājār	बाजार	market	बाजारातून भाजी आण.	Bring vegetables from the market.
शाळा	śāḷā	स्कूल	school	मुलं शाळेत जातात.	Children go to school.
दवाखाना	davākhānā	अस्पताल	clinic / hospital	ताप आला तर दवाखान्यात जा.	Go to the clinic for fever.
बँक	bĕṅk	बैंक	bank	बँकेत पैसे भरा.	Deposit money in the bank.
मंदिर	mandir	मंदिर	temple	सकाळी मंदिरात जा.	Go to the temple in the morning.
समुद्र	samudr	समुद्र	sea	मुंबई समुद्राजवळ आहे.	Mumbai is near the sea.
नदी	nadī	नदी	river	गोदावरी मोठी नदी आहे.	Godavari is a big river.
डोंगर	ḍoṅgar	पहाड़	mountain / hill	सह्याद्रीत उंच डोंगर आहेत.	Sahyadri has high mountains.
शेत	śet	खेत	farm / field	शेतकरी शेतात काम करतो.	The farmer works in the field.
पूल	pūl	पुल	bridge	नदीवर मोठा पूल आहे.	There is a big bridge on the river.
वाट	vāṭ	रास्ता	way / path	हीच योग्य वाट आहे.	This is the right way.
आज	āj	आज	today	आज शाळा आहे.	There is school today.
उद्या	udyā	कल	tomorrow	उद्या सुट्टी आहे.	Tomorrow is a holiday.
काल	kāl	कल	yesterday	काल पाऊस पडला.	It rained yesterday.
सकाळ	sakāḷ	सुबह	morning	सकाळी फिरायला जा.	Go for a walk in the morning.
दुपार	dupār	दोपहर	afternoon	दुपारी जेवण कर.	Eat lunch in the afternoon.
संध्याकाळ	sandhyākāḷ	शाम	evening	संध्याकाळी दिवा लाव.	Light the lamp in the evening.
रात्र	rātr	रात	night	रात्री लवकर झोप.	Sleep early at night.
दिवस	divas	दिन	day	आजचा दिवस छान आहे.	Today is a nice day.
आठवडा	āṭhvaḍā	सप्ताह	week	आठवड्यातून एकदा ये.	Come once a week.
महिना	mahinā	महीना	month	पुढच्या महिन्यात परीक्षा.	Exams next month.
वर्ष	varṣ	साल	year	नवीन वर्षाच्या शुभेच्छा.	Happy New Year.
वेळ	veḷ	समय	time	वेळेवर ये.	Come on time.
मिनिट	miniṭ	मिनट	minute	पाच मिनिटं थांब.	Wait five minutes.
तास	tās	घंटा	hour	एक तास अभ्यास कर.	Study for one hour.
आता	ātā	अब	now	आता काम कर.	Work now.
किंमत	kimmat	कीमत	price	याची किंमत किती?	What is its price?
स्वस्त	svast	सस्ता	cheap	हे फळ स्वस्त आहे.	This fruit is cheap.
महाग	mahāg	महँगा	expensive	सोने महाग आहे.	Gold is expensive.
सूट	sūṭ	छूट	discount	आज सर्व वस्तूंवर सूट.	Discount on everything today.
दुकान	dukān	दुकान	shop	दुकान सकाळी उघडतं.	The shop opens in the morning.
रोख	rokh	नकद	cash	रोख पैसे द्या.	Pay in cash.
पावती	pāvatī	रसीद	receipt	पावती जपून ठेव.	Keep the receipt safe.
खरेदी	kharedī	खरीदारी	shopping	दिवाळीची खरेदी करूया.	Let us do Diwali shopping.
विकणे	vikaṇe	बेचना	to sell	तो भाजी विकतो.	He sells vegetables.
सवलत देणे	savalat deṇe	छूट देना	to give a discount	जास्त घेतलं तर सवलत द्या.	Give a discount for bulk purchase.
झोळी	jhoḷī	झोला	cloth shoulder bag	सामान झोळीत ठेव.	Keep goods in the shoulder bag.
गिऱ्हाईक	girhāīk	ग्राहक	customer	गिऱ्हाईकांशी प्रेमाने बोला.	Speak politely to customers.
डोकं	ḍoka	सिर	head	माझं डोकं दुखतंय.	My head aches.
डोळा	ḍoḷā	आँख	eye	डोळ्यांनी बघ.	See with your eyes.
नाक	nāk	नाक	nose	नाकाने श्वास घे.	Breathe through the nose.
तोंड	toṇḍ	मुँह	mouth	तोंड धुऊन ये.	Wash your face and come.
हात	hāt	हाथ	hand	हात स्वच्छ धू.	Wash your hands clean.
पाय	pāy	पैर	leg / foot	पाय दुखत आहेत.	My legs ache.
पोट	poṭ	पेट	stomach	पोट भरलं.	The stomach is full.
दुखणं	dukhaṇa	दर्द	pain	डोक्यात दुखणं आहे.	There is pain in the head.
ताप	tāp	बुखार	fever	त्याला ताप आला आहे.	He has a fever.
सर्दी	sardī	जुकाम	cold (illness)	मला सर्दी झाली आहे.	I have a cold.
औषध	auṣadh	दवा	medicine	वेळेवर औषध घे.	Take medicine on time.
आरोग्य	ārogy	स्वास्थ्य	health	आरोग्य हीच संपत्ती.	Health is wealth.
व्यायाम	vyāyām	व्यायाम	exercise	रोज व्यायाम कर.	Exercise daily.
सोमवार	somvār	सोमवार	Monday	सोमवारी शाळा सुरू होते.	School starts on Monday.
मंगळवार	maṅgaḷvār	मंगलवार	Tuesday	मंगळवारी बाजार भरतो.	The market meets on Tuesday.
बुधवार	budhvār	बुधवार	Wednesday	बुधवारी सुट्टी आहे.	Wednesday is a holiday.
गुरुवार	guruvār	गुरुवार	Thursday	गुरुवारी मंदिरात जा.	Go to the temple on Thursday.
शुक्रवार	śukravār	शुक्रवार	Friday	शुक्रवारी चित्रपट पाहू.	We will watch a film on Friday.
शनिवार	śanivār	शनिवार	Saturday	शनिवारी अर्धा दिवस शाळा.	Half-day school on Saturday.
रविवार	ravivār	रविवार	Sunday	रविवारी सुट्टी असते.	Sunday is a holiday.
जानेवारी	jānevārī	जनवरी	January	जानेवारीत थंडी असते.	It is cold in January.
फेब्रुवारी	phebrevārī	फरवरी	February	फेब्रुवारीत परीक्षा असते.	Exams are held in February.
मार्च	mārch	मार्च	March	मार्चमध्ये होळी येते.	Holi comes in March.
एप्रिल	epril	अप्रैल	April	एप्रिलमध्ये उन्हाळा सुरू होतो.	Summer begins in April.
मे	me	मई	May	मे महिन्यात सुट्टी.	Holidays in May.
जून	jūn	जून	June	जूनमध्ये शाळा सुरू होते.	School starts in June.
जुलै	julai	जुलाई	July	जुलैमध्ये पाऊस पडतो.	It rains in July.
ऑगस्ट	ŏgasṭ	अगस्त	August	ऑगस्टमध्ये स्वातंत्र्यदिन.	Independence Day in August.
सप्टेंबर	sapṭembar	सितंबर	September	सप्टेंबरमध्ये गणपती येतात.	Ganpati comes in September.
ऑक्टोबर	ŏkṭobar	अक्टूबर	October	ऑक्टोबरमध्ये दसरा.	Dussehra in October.
नोव्हेंबर	novhembar	नवंबर	November	नोव्हेंबरमध्ये दिवाळी.	Diwali in November.
डिसेंबर	ḍisembar	दिसंबर	December	डिसेंबरमध्ये थंडी वाढते.	Cold increases in December.
उन्हाळा	unhāḷā	गर्मी	summer	उन्हाळ्यात आंबे येतात.	Mangoes come in summer.
पावसाळा	pāvasāḷā	बरसात	monsoon / rainy season	पावसाळ्यात छत्री घे.	Take an umbrella in monsoon.
हिवाळा	hivāḷā	सर्दी	winter	हिवाळ्यात स्वेटर घाल.	Wear a sweater in winter.
वसंत	vasant	वसंत	spring	वसंतात फुलं फुलतात.	Flowers bloom in spring.
पाऊस	pāūs	बारिश	rain	बाहेर पाऊस पडतोय.	It is raining outside.
ऊन	ūn	धूप	sunshine	आज कडक ऊन आहे.	There is strong sun today.
वारा	vārā	हवा	wind	गार वारा वाहतोय.	Cool wind is blowing.
ढग	ḍhag	बादल	cloud	आकाशात काळे ढग आहेत.	There are dark clouds in the sky.
वीज	vīj	बिजली	lightning	वीज चमकते आहे.	Lightning is flashing.
धुकं	dhuka	कोहरा	fog	सकाळी धुकं होतं.	There was fog in the morning.
थंडी	thaṇḍī	ठंड	cold (weather)	आज खूप थंडी आहे.	It is very cold today.
उष्णता	uṣṇatā	गर्मी	heat	दुपारी उष्णता वाढते.	Heat rises in the afternoon.
हवामान	havāmān	मौसम	weather	आजचं हवामान छान आहे.	Today’s weather is nice.
छत्री	chhatrī	छाता	umbrella	पावसात छत्री घे.	Take an umbrella in the rain.
गारवा	gārvā	ठंडक	coolness	संध्याकाळी गारवा असतो.	It is cool in the evening.
वादळ	vādaḷ	तूफान	storm	वादळात बाहेर जाऊ नकोस.	Do not go out in the storm.
लाल	lāl	लाल	red	लाल फूल सुंदर दिसतं.	The red flower looks beautiful.
निळा	niḷā	नीला	blue	आकाश निळं आहे.	The sky is blue.
हिरवा	hiravā	हरा	green	झाडं हिरवी आहेत.	The trees are green.
पिवळा	pivaḷā	पीला	yellow	हळद पिवळी असते.	Turmeric is yellow.
काळा	kāḷā	काला	black	काळा कुत्रा भुंकतो.	The black dog barks.
पांढरा	pāṇḍharā	सफेद	white	पांढरे कपडे घाल.	Wear white clothes.
केशरी	keśarī	केसरिया	saffron / orange	झेंड्यात केशरी रंग आहे.	The flag has saffron color.
गुलाबी	gulābī	गुलाबी	pink	गुलाबी फूल दे.	Give the pink flower.
जांभळा	jāmbhaḷā	बैंगनी	purple	जांभळी साडी छान दिसते.	The purple sari looks nice.
तपकिरी	tapkirī	भूरा	brown	तपकिरी बूट घाल.	Wear brown shoes.
राखाडी	rākhāḍī	स्लेटी	grey	राखाडी ढग आले.	Grey clouds came.
सोनेरी	sonerī	सुनहरा	golden	सोनेरी उन्हं पडलं.	Golden sunlight fell.
कुत्रा	kutrā	कुत्ता	dog	कुत्रा भुंकतो.	The dog barks.
मांजर	mānjar	बिल्ली	cat	मांजर दूध पिते.	The cat drinks milk.
गाय	gāy	गाय	cow	गाय दूध देते.	The cow gives milk.
म्हैस	mhais	भैंस	buffalo	म्हैस शेतात चरते.	The buffalo grazes in the field.
घोडा	ghoḍā	घोड़ा	horse	घोडा वेगाने धावतो.	The horse runs fast.
हत्ती	hattī	हाथी	elephant	हत्ती मोठा प्राणी आहे.	The elephant is a big animal.
वाघ	vāgh	बाघ	tiger	वाघ जंगलात राहतो.	The tiger lives in the forest.
सिंह	sinh	शेर	lion	सिंह जंगलाचा राजा.	The lion is the king of the jungle.
माकड	mākaḍ	बंदर	monkey	माकड झाडावर चढतं.	The monkey climbs the tree.
ससा	sasā	खरगोश	rabbit	ससा गाजर खातो.	The rabbit eats carrots.
उंदीर	undīr	चूहा	mouse / rat	उंदीर बिळात राहतो.	The mouse lives in a hole.
पक्षी	pakṣī	पक्षी	bird	पक्षी आकाशात उडतात.	Birds fly in the sky.
मासा	māsā	मछली	fish	मासा पाण्यात पोहतो.	The fish swims in water.
साप	sāp	साँप	snake	सापापासून दूर राहा.	Stay away from snakes.
बकरी	bakrī	बकरी	goat	बकरी गवत खाते.	The goat eats grass.
कोंबडी	kombḍī	मुर्गी	hen / chicken	कोंबडी अंडी देते.	The hen lays eggs.
मोर	mor	मोर	peacock	मोर राष्ट्रीय पक्षी आहे.	The peacock is the national bird.
हरण	haraṇ	हिरण	deer	हरण वेगाने पळतं.	The deer runs fast.
अस्वल	asval	भालू	bear	अस्वल मध खातं.	The bear eats honey.
मधमाशी	madhamāśī	मधुमक्खी	honeybee	मधमाशी मध बनवते.	The bee makes honey.
शर्ट	śarṭ	कमीज	shirt	पांढरा शर्ट घाल.	Wear a white shirt.
पँट	pĕṇṭ	पतलून	pants / trousers	नवी पँट घेतली.	Bought new pants.
साडी	sāḍī	साड़ी	sari	आईने नवी साडी नेसली.	Mother wore a new sari.
धोतर	dhotar	धोती	dhoti	आजोबा धोतर नेसतात.	Grandfather wears a dhoti.
टोपी	ṭopī	टोपी	cap	उन्हात टोपी घाल.	Wear a cap in the sun.
स्वेटर	sveṭar	स्वेटर	sweater	थंडीत स्वेटर घाल.	Wear a sweater in the cold.
